areaCode,areaName,areaType,date,newCasesByPublishDate
E06000003,Redcar and Cleveland,utla,2021-06-30,93
E06000014,York,utla,2021-06-30,146
E06000050,Cheshire West and Chester,utla,2021-06-30,148
E08000001,Bolton,utla,2021-06-30,127
E08000016,Barnsley,utla,2021-06-30,157
E08000031,Wolverhampton,utla,2021-06-30,75
E08000032,Bradford,utla,2021-06-30,219
E09000018,Hounslow,utla,2021-06-30,57
E09000032,Wandsworth,utla,2021-06-30,155
E09000033,Westminster,utla,2021-06-30,79
E10000034,Worcestershire,utla,2021-06-30,136
S12000013,Na h-Eileanan Siar,utla,2021-06-30,1
S12000029,South Lanarkshire,utla,2021-06-30,157
S12000045,East Dunbartonshire,utla,2021-06-30,82
W06000023,Powys,utla,2021-06-30,10
E06000003,Redcar and Cleveland,utla,2021-06-29,49
E06000014,York,utla,2021-06-29,112
E06000050,Cheshire West and Chester,utla,2021-06-29,131
E08000001,Bolton,utla,2021-06-29,112
E08000016,Barnsley,utla,2021-06-29,152
E08000031,Wolverhampton,utla,2021-06-29,67
E08000032,Bradford,utla,2021-06-29,198
E09000018,Hounslow,utla,2021-06-29,58
E09000032,Wandsworth,utla,2021-06-29,93
E09000033,Westminster,utla,2021-06-29,53
E10000034,Worcestershire,utla,2021-06-29,106
S12000013,Na h-Eileanan Siar,utla,2021-06-29,2
S12000029,South Lanarkshire,utla,2021-06-29,117
S12000045,East Dunbartonshire,utla,2021-06-29,88
W06000023,Powys,utla,2021-06-29,6
E06000003,Redcar and Cleveland,utla,2021-06-28,78
E06000014,York,utla,2021-06-28,148
E06000050,Cheshire West and Chester,utla,2021-06-28,117
E08000001,Bolton,utla,2021-06-28,121
E08000016,Barnsley,utla,2021-06-28,126
E08000031,Wolverhampton,utla,2021-06-28,41
E08000032,Bradford,utla,2021-06-28,221
E09000018,Hounslow,utla,2021-06-28,53
E09000032,Wandsworth,utla,2021-06-28,123
E09000033,Westminster,utla,2021-06-28,77
E10000034,Worcestershire,utla,2021-06-28,99
S12000013,Na h-Eileanan Siar,utla,2021-06-28,0
S12000029,South Lanarkshire,utla,2021-06-28,139
S12000045,East Dunbartonshire,utla,2021-06-28,61
W06000023,Powys,utla,2021-06-28,10
E06000003,Redcar and Cleveland,utla,2021-06-27,37
E06000014,York,utla,2021-06-27,78
E06000050,Cheshire West and Chester,utla,2021-06-27,90
E08000001,Bolton,utla,2021-06-27,94
E08000016,Barnsley,utla,2021-06-27,94
E08000031,Wolverhampton,utla,2021-06-27,49
E08000032,Bradford,utla,2021-06-27,77
E09000018,Hounslow,utla,2021-06-27,38
E09000032,Wandsworth,utla,2021-06-27,66
E09000033,Westminster,utla,2021-06-27,60
E10000034,Worcestershire,utla,2021-06-27,77
S12000013,Na h-Eileanan Siar,utla,2021-06-27,0
S12000029,South Lanarkshire,utla,2021-06-27,128
S12000045,East Dunbartonshire,utla,2021-06-27,56
W06000023,Powys,utla,2021-06-27,6
E06000003,Redcar and Cleveland,utla,2021-06-26,45
E06000014,York,utla,2021-06-26,96
E06000050,Cheshire West and Chester,utla,2021-06-26,157
E08000001,Bolton,utla,2021-06-26,128
E08000016,Barnsley,utla,2021-06-26,100
E08000031,Wolverhampton,utla,2021-06-26,48
E08000032,Bradford,utla,2021-06-26,242
E09000018,Hounslow,utla,2021-06-26,49
E09000032,Wandsworth,utla,2021-06-26,102
E09000033,Westminster,utla,2021-06-26,78
E10000034,Worcestershire,utla,2021-06-26,79
S12000013,Na h-Eileanan Siar,utla,2021-06-26,0
S12000029,South Lanarkshire,utla,2021-06-26,133
S12000045,East Dunbartonshire,utla,2021-06-26,78
W06000023,Powys,utla,2021-06-26,0
E06000003,Redcar and Cleveland,utla,2021-06-25,37
E06000014,York,utla,2021-06-25,84
E06000050,Cheshire West and Chester,utla,2021-06-25,85
E08000001,Bolton,utla,2021-06-25,118
E08000016,Barnsley,utla,2021-06-25,78
E08000031,Wolverhampton,utla,2021-06-25,34
E08000032,Bradford,utla,2021-06-25,127
E09000018,Hounslow,utla,2021-06-25,43
E09000032,Wandsworth,utla,2021-06-25,86
E09000033,Westminster,utla,2021-06-25,50
E10000034,Worcestershire,utla,2021-06-25,73
S12000013,Na h-Eileanan Siar,utla,2021-06-25,0
S12000029,South Lanarkshire,utla,2021-06-25,82
S12000045,East Dunbartonshire,utla,2021-06-25,50
W06000023,Powys,utla,2021-06-25,2
