areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
E06000003,Redcar and Cleveland,utla,2021-06-18,0
E06000014,York,utla,2021-06-18,0
E06000050,Cheshire West and Chester,utla,2021-06-18,0
E08000001,Bolton,utla,2021-06-18,3
E08000016,Barnsley,utla,2021-06-18,0
E08000031,Wolverhampton,utla,2021-06-18,0
E08000032,Bradford,utla,2021-06-18,2
E09000018,Hounslow,utla,2021-06-18,0
E09000032,Wandsworth,utla,2021-06-18,0
E09000033,Westminster,utla,2021-06-18,1
E10000034,Worcestershire,utla,2021-06-18,0
W06000023,Powys,utla,2021-06-18,0
E06000003,Redcar and Cleveland,utla,2021-06-11,0
E06000014,York,utla,2021-06-11,1
E06000050,Cheshire West and Chester,utla,2021-06-11,0
E08000001,Bolton,utla,2021-06-11,3
E08000016,Barnsley,utla,2021-06-11,1
E08000031,Wolverhampton,utla,2021-06-11,1
E08000032,Bradford,utla,2021-06-11,3
E09000018,Hounslow,utla,2021-06-11,0
E09000032,Wandsworth,utla,2021-06-11,4
E09000033,Westminster,utla,2021-06-11,0
E10000034,Worcestershire,utla,2021-06-11,0
W06000023,Powys,utla,2021-06-11,0
E06000003,Redcar and Cleveland,utla,2021-06-04,0
E06000014,York,utla,2021-06-04,0
E06000050,Cheshire West and Chester,utla,2021-06-04,0
E08000001,Bolton,utla,2021-06-04,5
E08000016,Barnsley,utla,2021-06-04,0
E08000031,Wolverhampton,utla,2021-06-04,0
E08000032,Bradford,utla,2021-06-04,1
E09000018,Hounslow,utla,2021-06-04,1
E09000032,Wandsworth,utla,2021-06-04,0
E09000033,Westminster,utla,2021-06-04,1
E10000034,Worcestershire,utla,2021-06-04,1
W06000023,Powys,utla,2021-06-04,1
E06000003,Redcar and Cleveland,utla,2021-05-28,0
E06000014,York,utla,2021-05-28,0
E06000050,Cheshire West and Chester,utla,2021-05-28,0
E08000001,Bolton,utla,2021-05-28,1
E08000016,Barnsley,utla,2021-05-28,0
E08000031,Wolverhampton,utla,2021-05-28,3
E08000032,Bradford,utla,2021-05-28,2
E09000018,Hounslow,utla,2021-05-28,0
E09000032,Wandsworth,utla,2021-05-28,1
E09000033,Westminster,utla,2021-05-28,0
E10000034,Worcestershire,utla,2021-05-28,2
W06000023,Powys,utla,2021-05-28,0
E06000003,Redcar and Cleveland,utla,2021-05-21,1
E06000014,York,utla,2021-05-21,0
E06000050,Cheshire West and Chester,utla,2021-05-21,1
E08000001,Bolton,utla,2021-05-21,1
E08000016,Barnsley,utla,2021-05-21,1
E08000031,Wolverhampton,utla,2021-05-21,0
E08000032,Bradford,utla,2021-05-21,2
E09000018,Hounslow,utla,2021-05-21,0
E09000032,Wandsworth,utla,2021-05-21,0
E09000033,Westminster,utla,2021-05-21,0
E10000034,Worcestershire,utla,2021-05-21,2
W06000023,Powys,utla,2021-05-21,0
E06000003,Redcar and Cleveland,utla,2021-05-14,0
E06000014,York,utla,2021-05-14,0
E06000050,Cheshire West and Chester,utla,2021-05-14,0
E08000001,Bolton,utla,2021-05-14,2
E08000016,Barnsley,utla,2021-05-14,4
E08000031,Wolverhampton,utla,2021-05-14,1
E08000032,Bradford,utla,2021-05-14,9
E09000018,Hounslow,utla,2021-05-14,1
E09000032,Wandsworth,utla,2021-05-14,0
E09000033,Westminster,utla,2021-05-14,0
E10000034,Worcestershire,utla,2021-05-14,0
W06000023,Powys,utla,2021-05-14,0
E06000003,Redcar and Cleveland,utla,2021-05-07,0
E06000014,York,utla,2021-05-07,1
E06000050,Cheshire West and Chester,utla,2021-05-07,0
E08000001,Bolton,utla,2021-05-07,1
E08000016,Barnsley,utla,2021-05-07,1
E08000031,Wolverhampton,utla,2021-05-07,2
E08000032,Bradford,utla,2021-05-07,1
E09000018,Hounslow,utla,2021-05-07,0
E09000032,Wandsworth,utla,2021-05-07,1
E09000033,Westminster,utla,2021-05-07,0
E10000034,Worcestershire,utla,2021-05-07,1
W06000023,Powys,utla,2021-05-07,0
E06000003,Redcar and Cleveland,utla,2021-04-30,1
E06000014,York,utla,2021-04-30,0
E06000050,Cheshire West and Chester,utla,2021-04-30,1
E08000001,Bolton,utla,2021-04-30,1
E08000016,Barnsley,utla,2021-04-30,1
E08000031,Wolverhampton,utla,2021-04-30,0
E08000032,Bradford,utla,2021-04-30,4
E09000018,Hounslow,utla,2021-04-30,1
E09000032,Wandsworth,utla,2021-04-30,1
E09000033,Westminster,utla,2021-04-30,0
E10000034,Worcestershire,utla,2021-04-30,0
W06000023,Powys,utla,2021-04-30,0
E06000003,Redcar and Cleveland,utla,2021-04-23,0
E06000014,York,utla,2021-04-23,3
E06000050,Cheshire West and Chester,utla,2021-04-23,1
E08000001,Bolton,utla,2021-04-23,2
E08000016,Barnsley,utla,2021-04-23,1
E08000031,Wolverhampton,utla,2021-04-23,1
E08000032,Bradford,utla,2021-04-23,13
E09000018,Hounslow,utla,2021-04-23,2
E09000032,Wandsworth,utla,2021-04-23,1
E09000033,Westminster,utla,2021-04-23,0
E10000034,Worcestershire,utla,2021-04-23,4
W06000023,Powys,utla,2021-04-23,2
E06000003,Redcar and Cleveland,utla,2021-04-16,0
E06000014,York,utla,2021-04-16,1
E06000050,Cheshire West and Chester,utla,2021-04-16,5
E08000001,Bolton,utla,2021-04-16,2
E08000016,Barnsley,utla,2021-04-16,3
E08000031,Wolverhampton,utla,2021-04-16,2
E08000032,Bradford,utla,2021-04-16,11
