la_code,la_name,imd_average,imd_rank,pop_2020,covid_deaths,covid_cases,cases_per_pop,deaths_per_pop
E06000001,Hartlepool,22581.98,25,93836,170,5394,5748.326868152948,181.16714267445332
E06000002,Middlesbrough,23729.1,16,141285,250,6770,4791.733021906076,176.94730509254344
E06000003,Redcar and Cleveland,20348.4,62,137228,227,5280,3847.6112746669774,165.41813624041743
E06000004,Stockton-on-Tees,17541.72,113,197419,338,9357,4739.665381751503,171.20945805621545
E06000005,Darlington,18284.63,103,107402,190,4276,3981.303886333588,176.90545799891993
E06000006,Halton,21746.16,39,129759,178,5619,4330.335468060019,137.17738268636472
E06000007,Warrington,14277.87,175,209397,375,10056,4802.361065344776,179.0856602530122
E06000008,Blackburn with Darwen,23819.6,14,150030,251,11450,7631.806971938945,167.29987335866159
E06000009,Blackpool,26765.29,1,138381,278,6075,4390.053547813645,200.8946314884269
E06000010,"Kingston upon Hull, City of",25222.75,9,259126,423,12753,4921.543959309371,163.24104875620353
E06000011,East Riding of Yorkshire,12095.08,217,343201,556,11969,3487.4607008720836,162.00418996448147
E06000012,North East Lincolnshire,20177.27,66,159364,213,5969,3745.513415827916,133.65628372781808
E06000013,North Lincolnshire,17200.38,120,172748,220,6003,3475.0040521453216,127.35313867599045
E06000014,York,9092.16,275,211012,216,7090,3359.998483498569,102.36384660588024
E06000015,Derby,18953.77,90,256814,453,10063,3918.4000872226593,176.392252758806
E06000016,Leicester,22857.96,22,354036,472,21750,6143.443039690879,133.31977539007332
E06000017,Rutland,6306.8,303,40476,34,746,1843.0674967882203,84.00039529597787
E06000018,Nottingham,24458.51,10,337098,446,19644,5827.385508071837,132.30573898391566
E06000019,"Herefordshire, County of",16384.76,137,193615,163,3384,1747.798466027942,84.18769206931282
E06000020,Telford and Wrekin,18583.53,99,181322,146,5292,2918.564763238879,80.51973836600082
E06000021,Stoke-on-Trent,23797.05,15,256622,465,12536,4885.005962076517,181.2003647387987
E06000022,Bath and North East Somerset,9260.09,274,196357,124,4653,2369.6634191803705,63.150282393803124
E06000023,"Bristol, City of",19421.68,82,465866,366,18483,3967.4498675584828,78.56336371402935
E06000024,North Somerset,11811.57,221,215574,213,5728,2657.0922281907838,98.80597845751343
E06000025,South Gloucestershire,9595.66,267,287816,259,8351,2901.5065180532006,89.98804791950413
E06000026,Plymouth,19859.59,72,262839,133,5128,1951.0042269221844,50.60131867797397
E06000027,Torbay,21088.82,48,136218,107,2172,1594.502929128309,78.5505586633191
E06000030,Swindon,14382.53,171,222881,205,5808,2605.874883906659,91.97733319574122
E06000031,Peterborough,20858.96,53,202626,172,7392,3648.100441206953,84.88545398912282
E06000032,Luton,20864.04,52,213528,293,9531,4463.583230302349,137.21853808399837
E06000033,Southend-on-Sea,16811.88,129,182773,279,7715,4221.082982716265,152.64836710017343
E06000034,Thurrock,17375.69,116,175531,241,9796,5580.7806028564755,137.29768530914768
E06000035,Medway,18587.91,98,279142,360,16347,5856.159230785765,128.96661914007925
E06000036,Bracknell Forest,8295.79,284,124165,86,3413,2748.761728345347,69.26267466677406
E06000037,West Berkshire,7974.34,289,158465,155,3176,2004.228062979207,97.8133972801565
E06000038,Reading,16125.74,141,160337,207,4843,3020.513044400232,129.10307664481684
E06000039,Slough,19788.26,73,149577,157,7001,4680.532434799467,104.96266137173497
E06000040,Windsor and Maidenhead,6289.3,304,151273,167,4417,2919.8865627045143,110.39643558334932
E06000041,Wokingham,3651.54,316,173945,206,4219,2425.4793181752852,118.42823881111845
E06000042,Milton Keynes,14351.0,172,270203,270,9772,3616.5401568450393,99.92487130046669
E06000043,Brighton and Hove,16209.04,140,291738,202,6559,2248.250142250924,69.2402086803913
E06000044,Portsmouth,20660.69,57,214692,164,7163,3336.407504704414,76.388500735938
E06000045,Southampton,20786.7,55,252872,185,6034,2386.1874782498653,73.15954316808504
E06000046,Isle of Wight,19454.34,80,142296,103,1636,1149.7160847810198,72.38432563107887
E06000047,County Durham,20206.86,65,533149,1079,23558,4418.652196665473,202.3824484337399
E06000049,Cheshire East,11380.72,228,386667,696,11900,3077.5835538072815,179.99984482771998
E06000050,Cheshire West and Chester,13862.96,183,343823,582,11713,3406.694723738668,169.27314344880944
E06000051,Shropshire,14862.2,165,325415,359,7088,2178.1417574481816,110.3206674554031
E06000052,Cornwall,19382.41,83,573299,249,5588,974.7095320243016,43.43283347781873
E06000054,Wiltshire,11265.53,231,504070,462,7790,1545.4202789295139,91.65393695320094
E06000055,Bedford,15291.14,156,174687,248,6023,3447.881067280336,141.96820599128728
E06000056,Central Bedfordshire,9823.03,264,294096,347,7684,2612.752298569175,117.98868396713999
E06000057,Northumberland,16778.29,131,323820,475,10922,3372.8614662466803,146.68643073312333
E06000058,"Bournemouth, Christchurch and Poole",14820.73,166,396989,325,9771,2461.2772646093467,81.86624818319903
E06000059,Dorset,13227.24,197,379791,233,4616,1215.405315028529,61.34953171612808
E08000001,Bolton,21135.42,47,288248,549,16702,5794.316005661792,190.46099192362132
E08000002,Bury,17812.44,110,190708,420,11503,6031.73437926044,220.23197768315958
E08000003,Manchester,26417.75,2,555741,685,35129,6321.1100134775015,123.25885619380252
E08000004,Oldham,22460.1,29,237628,520,16404,6903.226892453751,218.8294308751494
E08000005,Rochdale,23414.21,17,223659,488,14539,6500.520882235904,218.18929709960253
E08000006,Salford,23233.56,20,262697,517,15059,5732.4598301465185,196.8046837230726
E08000007,Stockport,15400.65,154,294197,493,12159,4132.944931457492,167.5747883221107
E08000008,Tameside,22774.3,23,227117,540,11534,5078.439746914585,237.7629151494604
E08000009,Trafford,12412.15,209,237579,387,10317,4342.555528897756,162.89318500372508
E08000010,Wigan,18600.47,97,330712,746,18878,5708.289992501028,225.57391325382812
E08000011,Knowsley,26199.75,3,152452,252,8748,5738.199564453074,165.297929840212
E08000012,Liverpool,25833.57,4,500474,969,26666,5328.148914828743,193.6164516038795
